DATA: 4615 x 16
Feature 0
-0.490327	rho[0][5]
-0.370458	rho[0][8]
-0.250225	rho[0][3]
-0.215774	rho[0][10]
-0.194888	rho[0][11]
0.15868	rho[0][14]
0.146311	rho[0][15]
0.130115	rho[0][2]
0.122346	rho[0][9]
0.0930572	rho[0][4]
0.0898376	rho[0][6]
0.0662831	rho[0][13]
-0.0540238	rho[0][1]
0.0175644	rho[0][12]
-0.00445672	rho[0][7]

Feature 1
-0.336154	rho[1][6]
0.324917	rho[1][8]
-0.226874	rho[1][3]
-0.187783	rho[1][12]
0.169597	rho[1][2]
-0.140911	rho[1][5]
-0.138375	rho[1][4]
-0.131377	rho[1][11]
0.0766461	rho[1][7]
-0.0540238	rho[1][0]
-0.0419489	rho[1][9]
0.041836	rho[1][13]
0.0158751	rho[1][14]
-0.00574842	rho[1][10]
-0.00529833	rho[1][15]

Feature 2
-0.205246	rho[2][3]
0.169597	rho[2][1]
-0.163249	rho[2][6]
-0.136431	rho[2][5]
0.130115	rho[2][0]
-0.122043	rho[2][7]
-0.105118	rho[2][11]
0.0766959	rho[2][4]
0.0738052	rho[2][13]
-0.0642716	rho[2][8]
-0.0530873	rho[2][12]
0.0461166	rho[2][15]
0.0293651	rho[2][14]
-0.0148137	rho[2][9]
-0.00562686	rho[2][10]

Feature 3
0.254757	rho[3][10]
-0.250225	rho[3][0]
-0.226874	rho[3][1]
-0.205246	rho[3][2]
-0.183328	rho[3][15]
0.171509	rho[3][5]
-0.130502	rho[3][13]
-0.127863	rho[3][14]
-0.126211	rho[3][9]
0.0924593	rho[3][12]
0.0571051	rho[3][6]
-0.0531708	rho[3][4]
-0.0519921	rho[3][8]
-0.0184609	rho[3][7]
-0.00598157	rho[3][11]

Feature 4
-0.17561	rho[4][5]
-0.170291	rho[4][8]
-0.138375	rho[4][1]
-0.132826	rho[4][6]
0.0930572	rho[4][0]
0.0766959	rho[4][2]
-0.0727051	rho[4][7]
-0.0531708	rho[4][3]
0.0315786	rho[4][13]
0.0314025	rho[4][10]
0.0284337	rho[4][15]
-0.024112	rho[4][9]
-0.00917352	rho[4][12]
-0.00771356	rho[4][11]
-0.00704909	rho[4][14]

Feature 5
-0.490327	rho[5][0]
0.228028	rho[5][8]
-0.208451	rho[5][7]
-0.198553	rho[5][15]
-0.189719	rho[5][14]
-0.17561	rho[5][4]
0.175264	rho[5][11]
0.171509	rho[5][3]
-0.162586	rho[5][13]
-0.140911	rho[5][1]
-0.136431	rho[5][2]
-0.11639	rho[5][9]
-0.0453746	rho[5][10]
-0.0450461	rho[5][6]
0.0326222	rho[5][12]

Feature 6
-0.336154	rho[6][1]
-0.196702	rho[6][8]
-0.163249	rho[6][2]
-0.148034	rho[6][7]
-0.132826	rho[6][4]
0.127053	rho[6][9]
-0.11248	rho[6][10]
-0.0957113	rho[6][15]
0.0898376	rho[6][0]
0.0571051	rho[6][3]
-0.0534125	rho[6][14]
-0.0526905	rho[6][13]
-0.0450461	rho[6][5]
-0.0128086	rho[6][12]
0.0110814	rho[6][11]

Feature 7
-0.208451	rho[7][5]
-0.148034	rho[7][6]
0.13715	rho[7][14]
-0.122043	rho[7][2]
-0.105392	rho[7][11]
-0.0875612	rho[7][9]
0.0766461	rho[7][1]
0.0740744	rho[7][15]
-0.0727051	rho[7][4]
0.058885	rho[7][8]
0.0531431	rho[7][10]
-0.0523997	rho[7][13]
-0.0251159	rho[7][12]
-0.0184609	rho[7][3]
-0.00445672	rho[7][0]

Feature 8
-0.370458	rho[8][0]
0.324917	rho[8][1]
0.228028	rho[8][5]
-0.196702	rho[8][6]
-0.170291	rho[8][4]
-0.152459	rho[8][9]
-0.13	rho[8][12]
-0.11642	rho[8][14]
0.095026	rho[8][11]
-0.0794208	rho[8][13]
0.068459	rho[8][10]
-0.0642716	rho[8][2]
-0.0607356	rho[8][15]
0.058885	rho[8][7]
-0.0519921	rho[8][3]

Feature 9
-0.180803	rho[9][10]
-0.152459	rho[9][8]
0.127053	rho[9][6]
-0.126211	rho[9][3]
0.122346	rho[9][0]
-0.11639	rho[9][5]
-0.0875612	rho[9][7]
-0.0723159	rho[9][15]
0.067098	rho[9][14]
0.0435859	rho[9][12]
-0.0419489	rho[9][1]
-0.0353437	rho[9][11]
0.0288331	rho[9][13]
-0.024112	rho[9][4]
-0.0148137	rho[9][2]

Feature 10
0.254757	rho[10][3]
-0.215774	rho[10][0]
-0.180803	rho[10][9]
-0.154487	rho[10][14]
-0.11248	rho[10][6]
0.068459	rho[10][8]
0.0531431	rho[10][7]
-0.0453746	rho[10][5]
0.0440409	rho[10][12]
-0.0421258	rho[10][13]
-0.035541	rho[10][11]
