DATA: 4615 x 9
Feature 0
-0.225021	rho[0][3]
0.194247	rho[0][2]
0.18208	rho[0][7]
-0.180182	rho[0][1]
0.121867	rho[0][4]
-0.0955642	rho[0][5]
-0.0789165	rho[0][8]
0.0489847	rho[0][6]

Feature 1
-0.826917	rho[1][2]
0.783301	rho[1][3]
-0.627337	rho[1][4]
0.558077	rho[1][5]
-0.237924	rho[1][6]
0.23539	rho[1][7]
-0.180182	rho[1][0]
0.0968615	rho[1][8]

Feature 2
-0.872284	rho[2][3]
0.839843	rho[2][4]
-0.826917	rho[2][1]
-0.710036	rho[2][5]
0.450248	rho[2][6]
-0.354282	rho[2][7]
0.194247	rho[2][0]
0.0473883	rho[2][8]

Feature 3
-0.894577	rho[3][4]
-0.872284	rho[3][2]
0.845411	rho[3][5]
0.783301	rho[3][1]
-0.62925	rho[3][6]
0.458007	rho[3][7]
-0.225021	rho[3][0]
-0.120471	rho[3][8]

Feature 4
-0.934698	rho[4][5]
-0.894577	rho[4][3]
0.839843	rho[4][2]
0.766325	rho[4][6]
-0.627337	rho[4][1]
-0.623667	rho[4][7]
0.312339	rho[4][8]
0.121867	rho[4][0]

Feature 5
-0.934698	rho[5][4]
-0.865681	rho[5][6]
0.845411	rho[5][3]
0.728745	rho[5][7]
-0.710036	rho[5][2]
0.558077	rho[5][1]
-0.425572	rho[5][8]
-0.0955642	rho[5][0]

Feature 6
-0.865681	rho[6][5]
-0.830597	rho[6][7]
0.766325	rho[6][4]
-0.62925	rho[6][3]
0.563565	rho[6][8]
0.450248	rho[6][2]
-0.237924	rho[6][1]
0.0489847	rho[6][0]

Feature 7
-0.830597	rho[7][6]
0.728745	rho[7][5]
-0.708308	rho[7][8]
-0.623667	rho[7][4]
0.458007	rho[7][3]
-0.354282	rho[7][2]
0.23539	rho[7][1]
0.18208	rho[7][0]

Feature 8
-0.708308	rho[8][7]
0.563565	rho[8][6]
-0.425572	rho[8][5]
0.312339	rho[8][4]
-0.120471	rho[8][3]
0.0968615	rho[8][1]
-0.0789165	rho[8][0]
0.0473883	rho[8][2]

