DATA: 5870 x 9
Feature 0
0.445181	rho[0][6]
-0.409816	rho[0][7]
-0.319174	rho[0][5]
0.311974	rho[0][4]
-0.276258	rho[0][3]
0.269409	rho[0][8]
-0.172376	rho[0][1]
0.164367	rho[0][2]

Feature 1
-0.651989	rho[1][2]
0.61306	rho[1][3]
0.496041	rho[1][5]
0.433119	rho[1][7]
-0.392251	rho[1][4]
-0.368456	rho[1][6]
-0.172376	rho[1][0]
0.0178944	rho[1][8]

Feature 2
-0.651989	rho[2][1]
-0.540886	rho[2][3]
-0.531639	rho[2][5]
0.409849	rho[2][6]
0.348384	rho[2][4]
-0.24813	rho[2][7]
0.164367	rho[2][0]
0.0194135	rho[2][8]

Feature 3
-0.768451	rho[3][4]
0.61306	rho[3][1]
0.584538	rho[3][5]
-0.540886	rho[3][2]
-0.401517	rho[3][6]
0.400938	rho[3][7]
-0.276258	rho[3][0]
-0.0819541	rho[3][8]

Feature 4
-0.768451	rho[4][3]
-0.646203	rho[4][5]
-0.462819	rho[4][7]
0.419035	rho[4][6]
-0.392251	rho[4][1]
0.348384	rho[4][2]
0.311974	rho[4][0]
0.202418	rho[4][8]

Feature 5
-0.754731	rho[5][6]
-0.646203	rho[5][4]
0.584538	rho[5][3]
-0.531639	rho[5][2]
0.496041	rho[5][1]
0.489473	rho[5][7]
-0.319174	rho[5][0]
-0.17538	rho[5][8]

Feature 6
-0.754731	rho[6][5]
-0.722627	rho[6][7]
0.445181	rho[6][0]
0.419035	rho[6][4]
0.409849	rho[6][2]
-0.401517	rho[6][3]
0.384955	rho[6][8]
-0.368456	rho[6][1]

Feature 7
-0.722627	rho[7][6]
-0.620829	rho[7][8]
0.489473	rho[7][5]
-0.462819	rho[7][4]
0.433119	rho[7][1]
-0.409816	rho[7][0]
0.400938	rho[7][3]
-0.24813	rho[7][2]

Feature 8
-0.620829	rho[8][7]
0.384955	rho[8][6]
0.269409	rho[8][0]
0.202418	rho[8][4]
-0.17538	rho[8][5]
-0.0819541	rho[8][3]
0.0194135	rho[8][2]
0.0178944	rho[8][1]

