DATA: 5870 x 16
Feature 0
-0.295802	rho[0][10]
-0.253555	rho[0][12]
-0.252716	rho[0][5]
-0.248783	rho[0][13]
-0.248151	rho[0][3]
-0.244649	rho[0][14]
-0.239635	rho[0][11]
-0.227963	rho[0][4]
-0.211849	rho[0][7]
-0.211625	rho[0][2]
-0.177302	rho[0][9]
-0.14942	rho[0][15]
-0.147708	rho[0][8]
-0.114343	rho[0][6]
-0.0397281	rho[0][1]

Feature 1
-0.396327	rho[1][5]
-0.329363	rho[1][3]
0.183068	rho[1][6]
-0.14251	rho[1][15]
-0.141608	rho[1][11]
-0.13849	rho[1][10]
0.131595	rho[1][8]
0.123769	rho[1][9]
-0.0982742	rho[1][13]
0.0828048	rho[1][7]
0.0802893	rho[1][4]
-0.0587273	rho[1][12]
-0.0397281	rho[1][0]
-0.015284	rho[1][14]
0.0029374	rho[1][2]

Feature 2
0.363664	rho[2][5]
0.328335	rho[2][9]
0.327264	rho[2][7]
0.306376	rho[2][3]
0.247047	rho[2][11]
-0.211625	rho[2][0]
0.175135	rho[2][8]
0.165774	rho[2][10]
0.165295	rho[2][4]
0.137687	rho[2][13]
-0.0843454	rho[2][14]
0.0628668	rho[2][12]
-0.0447852	rho[2][15]
-0.0195288	rho[2][6]
0.0029374	rho[2][1]

Feature 3
0.397627	rho[3][5]
-0.329363	rho[3][1]
0.306376	rho[3][2]
0.292224	rho[3][10]
0.260712	rho[3][11]
-0.248151	rho[3][0]
0.240224	rho[3][7]
0.218479	rho[3][9]
0.119439	rho[3][8]
0.0952818	rho[3][6]
-0.0691578	rho[3][14]
0.0665401	rho[3][12]
0.0656933	rho[3][13]
0.0538888	rho[3][4]
0.00310797	rho[3][15]

Feature 4
0.285519	rho[4][7]
0.244988	rho[4][9]
-0.227963	rho[4][0]
0.167106	rho[4][5]
0.166433	rho[4][12]
0.165295	rho[4][2]
0.141238	rho[4][10]
0.136892	rho[4][11]
-0.124239	rho[4][15]
0.0802893	rho[4][1]
0.0753012	rho[4][6]
0.0538888	rho[4][3]
0.0531752	rho[4][8]
-0.0342626	rho[4][14]
0.00710507	rho[4][13]

Feature 5
0.397627	rho[5][3]
-0.396327	rho[5][1]
0.363664	rho[5][2]
0.341364	rho[5][10]
-0.252716	rho[5][0]
0.240487	rho[5][11]
0.223533	rho[5][7]
0.205626	rho[5][8]
0.167106	rho[5][4]
0.157685	rho[5][12]
0.133128	rho[5][9]
0.0936313	rho[5][13]
-0.073828	rho[5][14]
-0.0636667	rho[5][15]
-0.0218869	rho[5][6]

Feature 6
0.310886	rho[6][9]
0.263383	rho[6][8]
-0.206638	rho[6][14]
0.183068	rho[6][1]
0.175259	rho[6][7]
-0.152199	rho[6][15]
0.129057	rho[6][11]
0.126889	rho[6][10]
-0.114343	rho[6][0]
0.0952818	rho[6][3]
0.0753012	rho[6][4]
-0.0695274	rho[6][13]
-0.0218869	rho[6][5]
-0.0195288	rho[6][2]
-0.0149953	rho[6][12]

Feature 7
0.346966	rho[7][9]
0.327264	rho[7][2]
0.285519	rho[7][4]
0.240224	rho[7][3]
0.230639	rho[7][10]
0.223533	rho[7][5]
-0.211849	rho[7][0]
0.196305	rho[7][8]
0.183882	rho[7][12]
0.181535	rho[7][11]
0.175259	rho[7][6]
-0.122881	rho[7][15]
-0.087613	rho[7][14]
0.0828048	rho[7][1]
0.0668295	rho[7][13]

Feature 8
0.263383	rho[8][6]
0.245364	rho[8][10]
0.234509	rho[8][9]
0.226105	rho[8][11]
0.205626	rho[8][5]
-0.204388	rho[8][14]
0.196305	rho[8][7]
0.175135	rho[8][2]
-0.170747	rho[8][15]
-0.147708	rho[8][0]
0.131595	rho[8][1]
0.119439	rho[8][3]
0.0531752	rho[8][4]
0.0312376	rho[8][13]
0.0223136	rho[8][12]

Feature 9
0.346966	rho[9][7]
0.328335	rho[9][2]
0.316142	rho[9][11]
0.310886	rho[9][6]
0.279384	rho[9][10]
0.244988	rho[9][4]
0.234509	rho[9][8]
0.218479	rho[9][3]
0.207807	rho[9][12]
-0.177302	rho[9][0]
0.147326	rho[9][13]
0.133128	rho[9][5]
0.123769	rho[9][1]
-0.117616	rho[9][15]
-0.0396915	rho[9][14]

Feature 10
0.402048	rho[10][11]
0.341364	rho[10][5]
-0.295802	rho[10][0]
0.292224	rho[10][3]
0.279384	rho[10][9]
0.277094	rho[10][12]
0.245364	rho[10][8]
0.230639	rho[10][7]
0.182984	rho[10][13]
0.165774	rho[10][2]
0.141238	rho[10][4]
-0.13849	rho[10][1]
0.126889	rho[10][6]
-0.10356	rho[10][15]
-0.0513307	rho[10][14]

Feature 11
0.402048	rho[11][10]
0.348334	rho[11][12]
0.316142	rho[11][9]
0.270013	rho[11][13]
0.260712	rho[11][3]
0.247047	rho[11][2]
0.240487	rho[11][5]
-0.239635	rho[11][0]
0.226105	rho[11][8]
0.181535	rho[11][7]
-0.141608	rho[11][1]
0.136892	rho[11][4]
0.129057	rho[11][6]
-0.0944962	rho[11][15]
0.0125833	rho[11][14]

Feature 12
0.382077	rho[12][13]
0.348334	rho[12][11]
0.277094	rho[12][10]
-0.253555	rho[12][0]
0.221155	rho[12][14]
0.207807	rho[12][9]
0.183882	rho[12][7]
0.166433	rho[12][4]
0.157685	rho[12][5]
0.0665401	rho[12][3]
0.0628668	rho[12][2]
-0.0587273	rho[12][1]
-0.0513196	rho[12][15]
0.0223136	rho[12][8]
-0.0149953	rho[12][6]

Feature 13
0.382077	rho[13][12]
0.332816	rho[13][14]
0.270013	rho[13][11]
-0.248783	rho[13][0]
0.182984	rho[13][10]
0.147326	rho[13][9]
0.137687	rho[13][2]
0.102783	rho[13][15]
-0.0982742	rho[13][1]
0.0936313	rho[13][5]
-0.0695274	rho[13][6]
0.0668295	rho[13][7]
0.0656933	rho[13][3]
0.0312376	rho[13][8]
0.00710507	rho[13][4]

Feature 14
0.332816	rho[14][13]
0.318793	rho[14][15]
-0.244649	rho[14][0]
0.221155	rho[14][12]
-0.206638	rho[14][6]
-0.204388	rho[14][8]
-0.087613	rho[14][7]
-0.0843454	rho[14][2]
-0.073828	rho[14][5]
-0.0691578	rho[14][3]
-0.0513307	rho[14][10]
-0.0396915	rho[14][9]
-0.0342626	rho[14][4]
-0.015284	rho[14][1]
0.0125833	rho[14][11]

Feature 15
0.318793	rho[15][14]
-0.170747	rho[15][8]
-0.152199	rho[15][6]
-0.14942	rho[15][0]
-0.14251	rho[15][1]
-0.124239	rho[15][4]
-0.122881	rho[15][7]
-0.117616	rho[15][9]
-0.10356	rho[15][10]
0.102783	rho[15][13]
-0.0944962	rho[15][11]
-0.0636667	rho[15][5]
-0.0513196	rho[15][12]
-0.0447852	rho[15][2]
0.00310797	rho[15][3]

